ID Produto,Nome Produto,Quantidade Vendida,Preco Unitario,Data da Venda
1,Calça Jeans,10,91.96,2021-05-26
2,Camisa Manga Longa,9,40.0,2021-08-13
5,Camiseta Básica,11,12.22,2021-03-12
7,Camisa Manga Longa,11,64.84,2021-01-13
5,Camisa Gola Polo,6,33.8,2021-01-18
2,Sapato Social,19,46.2,2021-11-11
2,Camisa Manga Longa,19,99.47,2021-03-18
5,Camisa Gola Polo,12,45.97,2021-08-22
8,Calça Jeans,15,27.95,2021-12-25
6,Sapato Social,1,15.77,2021-04-08
2,Camisa Manga Longa,7,92.14,2021-09-30
8,Sapato Social,13,16.56,2021-02-01
5,Camisa Manga Longa,4,67.28,2021-01-26
6,Camiseta Básica,20,77.35,2021-01-04
1,Camisa Gola Polo,12,16.48,2021-05-20
1,Sapato Social,3,52.52,2021-09-26
4,Camisa Gola Polo,7,41.21,2021-11-07
6,Camisa Manga Longa,9,22.64,2021-08-14
7,Camisa Gola Polo,18,60.21,2021-08-11
9,Camisa Manga Longa,16,20.66,2021-03-29
6,Camisa Manga Longa,18,69.26,2021-06-15
2,Camisa Gola Polo,9,79.17,2021-04-09
8,Camisa Gola Polo,16,31.4,2021-03-11
9,Calça Jeans,1,81.33,2021-04-01
1,Camisa Manga Longa,20,18.84,2021-11-27
8,Calça Jeans,14,14.07,2021-05-21
6,Calça Jeans,13,13.29,2021-05-09
6,Camiseta Básica,6,71.25,2021-02-08
6,Camisa Gola Polo,13,32.05,2021-01-14
10,Camiseta Básica,7,42.82,2021-06-15
4,Sapato Social,14,27.42,2021-02-05
7,Camisa Gola Polo,18,44.35,2021-10-30
2,Sapato Social,20,77.08,2021-05-04
5,Sapato Social,9,50.99,2021-12-07
7,Camiseta Básica,7,67.23,2021-05-04
2,Camisa Gola Polo,9,67.69,2021-12-30
6,Camisa Gola Polo,2,71.11,2021-03-31
3,Sapato Social,5,34.85,2021-07-31
10,Camiseta Básica,5,55.83,2021-12-15
5,Sapato Social,1,15.96,2021-09-19
8,Sapato Social,18,93.44,2021-01-11
2,Camiseta Básica,19,97.69,2021-10-01
8,Camisa Manga Longa,13,78.3,2021-10-29
3,Sapato Social,5,52.63,2021-07-15
10,Camisa Gola Polo,10,15.2,2021-06-02
5,Calça Jeans,20,25.11,2021-07-05
4,Calça Jeans,14,40.84,2021-03-11
2,Calça Jeans,13,61.0,2021-11-17
8,Camiseta Básica,17,67.19,2021-04-21
7,Sapato Social,2,73.61,2021-11-27
7,Camiseta Básica,10,63.85,2021-12-14
2,Camisa Gola Polo,3,63.65,2021-08-30
5,Camiseta Básica,10,78.41,2021-01-16
5,Camiseta Básica,12,10.45,2021-11-09
2,Calça Jeans,5,22.69,2021-12-09
3,Camisa Gola Polo,10,59.25,2021-08-19
8,Camiseta Básica,7,22.69,2021-06-08
1,Camisa Gola Polo,3,42.05,2021-02-03
10,Calça Jeans,17,15.84,2021-08-20
6,Camisa Gola Polo,12,40.37,2021-09-04
2,Camisa Manga Longa,19,62.41,2021-01-05
6,Camiseta Básica,16,39.63,2021-01-22
4,Camisa Gola Polo,8,46.93,2021-05-22
1,Sapato Social,16,40.12,2021-01-29
1,Sapato Social,5,41.08,2021-08-01
7,Camiseta Básica,18,70.17,2021-12-02
3,Camiseta Básica,11,56.42,2021-07-25
4,Camisa Gola Polo,10,18.68,2021-10-08
1,Calça Jeans,6,22.7,2021-12-18
6,Camiseta Básica,13,76.8,2021-07-18
2,Sapato Social,10,16.56,2021-08-27
3,Camisa Manga Longa,11,86.21,2021-03-04
4,Camisa Manga Longa,3,61.63,2021-12-23
7,Camisa Gola Polo,1,73.76,2021-05-09
10,Camisa Manga Longa,2,95.0,2021-07-28
4,Calça Jeans,19,46.75,2021-04-05
6,Calça Jeans,16,37.43,2021-10-07
10,Camiseta Básica,20,92.63,2021-09-23
10,Camisa Gola Polo,2,88.28,2021-10-16
4,Camisa Manga Longa,17,67.18,2021-04-06
7,Camisa Manga Longa,14,77.01,2021-09-01
7,Sapato Social,8,86.92,2021-10-23
2,Calça Jeans,20,29.18,2021-09-06
1,Sapato Social,18,21.97,2021-04-08
9,Camisa Gola Polo,19,65.78,2021-07-20
4,Camiseta Básica,5,79.35,2021-11-22
1,Calça Jeans,10,20.25,2021-05-21
7,Camiseta Básica,16,58.1,2021-07-07
9,Sapato Social,14,66.5,2021-04-06
1,Camisa Manga Longa,12,37.79,2021-03-08
10,Camisa Manga Longa,12,63.66,2021-05-25
7,Sapato Social,13,68.41,2021-02-09
2,Camisa Gola Polo,2,41.24,2021-03-21
4,Camiseta Básica,8,90.16,2021-04-22
5,Camisa Manga Longa,17,23.34,2021-09-28
4,Sapato Social,7,35.68,2021-02-03
4,Calça Jeans,11,58.5,2021-03-18
8,Calça Jeans,14,58.17,2021-02-09
4,Camisa Gola Polo,5,68.19,2021-03-09
8,Camisa Gola Polo,2,33.11,2021-09-10
4,Calça Jeans,9,96.93,2021-08-08
9,Sapato Social,17,87.0,2021-06-04
5,Camiseta Básica,8,56.26,2021-02-18
5,Camiseta Básica,8,38.79,2021-07-11
1,Calça Jeans,12,72.69,2021-09-05
4,Sapato Social,11,99.44,2021-05-02
2,Calça Jeans,12,42.42,2021-11-04
1,Sapato Social,11,50.4,2021-10-11
4,Camisa Manga Longa,14,75.18,2021-03-31
2,Camisa Gola Polo,1,54.99,2021-11-22
8,Camisa Manga Longa,8,94.48,2021-06-01
8,Camisa Manga Longa,18,89.48,2021-09-14
3,Camiseta Básica,20,20.73,2021-12-13
4,Camisa Gola Polo,5,38.85,2021-01-21
7,Calça Jeans,11,96.47,2021-01-13
1,Camisa Gola Polo,3,41.14,2021-03-09
5,Camisa Manga Longa,18,22.09,2021-07-19
10,Sapato Social,14,58.72,2021-09-20
4,Camisa Gola Polo,17,58.58,2021-10-10
3,Camiseta Básica,11,17.55,2021-02-09
8,Camisa Gola Polo,12,37.93,2021-06-07
8,Camiseta Básica,14,46.58,2021-11-16
8,Calça Jeans,16,21.93,2021-07-15
3,Camisa Gola Polo,4,53.65,2021-06-14
2,Camisa Manga Longa,20,75.98,2021-08-22
3,Camiseta Básica,13,98.02,2021-01-14
10,Sapato Social,17,55.41,2021-01-30
3,Calça Jeans,5,64.28,2021-07-13
7,Camisa Manga Longa,8,93.38,2021-08-08
4,Sapato Social,9,73.69,2021-03-14
2,Camisa Manga Longa,8,81.23,2021-10-27
3,Camisa Manga Longa,2,53.27,2021-09-26
8,Camiseta Básica,19,52.75,2021-07-13
9,Sapato Social,16,43.85,2021-02-23
4,Camiseta Básica,6,85.58,2021-01-13
7,Camisa Gola Polo,1,27.6,2021-09-21
10,Camisa Manga Longa,4,16.93,2021-12-25
5,Camisa Manga Longa,14,43.08,2021-11-29
9,Camiseta Básica,6,43.18,2021-01-29
10,Camisa Manga Longa,17,76.92,2021-08-31
7,Camisa Manga Longa,15,84.08,2021-09-12
5,Camisa Gola Polo,1,92.03,2021-11-25
9,Camisa Gola Polo,1,73.71,2021-03-06
3,Sapato Social,1,46.96,2021-09-21
10,Calça Jeans,15,98.28,2021-01-17
4,Sapato Social,12,34.9,2021-11-11
1,Camisa Manga Longa,12,82.56,2021-08-25
9,Camisa Gola Polo,20,75.97,2021-03-12
2,Camisa Gola Polo,10,42.11,2021-03-13
5,Camisa Manga Longa,11,98.91,2021-10-28
8,Camisa Manga Longa,1,30.96,2021-09-30
8,Calça Jeans,18,88.05,2021-09-15
9,Calça Jeans,13,97.85,2021-09-18
1,Calça Jeans,10,68.28,2021-12-07
8,Camisa Manga Longa,4,81.77,2021-03-27
8,Calça Jeans,7,11.84,2021-10-19
2,Calça Jeans,4,53.53,2021-11-19
7,Sapato Social,5,53.94,2021-07-09
9,Camiseta Básica,8,50.32,2021-04-11
7,Sapato Social,19,23.37,2021-08-29
8,Sapato Social,18,22.68,2021-04-09
10,Camisa Gola Polo,4,84.15,2021-05-16
8,Sapato Social,11,78.38,2021-05-27
5,Camiseta Básica,2,56.31,2021-09-05
9,Camisa Manga Longa,8,11.3,2021-04-11
3,Sapato Social,12,34.04,2021-11-03
10,Camisa Manga Longa,18,95.28,2021-08-12
5,Camisa Gola Polo,5,91.42,2021-11-17
4,Camiseta Básica,8,43.47,2021-08-26
10,Camisa Manga Longa,18,98.52,2021-01-19
1,Camiseta Básica,13,11.74,2021-10-09
4,Camisa Manga Longa,16,66.88,2021-07-02
10,Sapato Social,7,87.36,2021-03-25
3,Camisa Manga Longa,16,32.58,2021-03-22
1,Calça Jeans,15,86.21,2021-10-18
5,Calça Jeans,3,89.39,2021-12-04
5,Calça Jeans,4,28.95,2021-02-10
3,Sapato Social,15,74.67,2021-08-09
6,Camisa Manga Longa,1,86.77,2021-05-18
4,Camisa Manga Longa,14,94.38,2021-09-16
1,Camiseta Básica,5,16.4,2021-04-23
9,Camisa Manga Longa,7,99.47,2021-08-02
1,Camisa Manga Longa,11,29.08,2021-08-29
7,Sapato Social,11,94.53,2021-01-29
7,Calça Jeans,13,35.46,2021-10-23
6,Camisa Gola Polo,11,94.57,2021-07-30
2,Camiseta Básica,16,17.83,2021-09-22
7,Calça Jeans,17,22.37,2021-04-19
10,Calça Jeans,2,47.57,2021-08-30
3,Calça Jeans,2,51.33,2021-08-02
4,Camisa Manga Longa,7,13.65,2021-09-06
3,Calça Jeans,8,30.45,2021-02-14
10,Sapato Social,6,27.65,2021-11-01
7,Sapato Social,18,92.5,2021-08-03
10,Sapato Social,10,61.22,2021-01-19
5,Camiseta Básica,13,78.42,2021-09-25
4,Camiseta Básica,19,95.83,2021-07-29
8,Camisa Manga Longa,7,44.25,2021-11-14
7,Calça Jeans,19,32.88,2021-10-20
1,Camisa Gola Polo,12,84.98,2021-11-12
7,Calça Jeans,13,41.0,2021-01-02
6,Camisa Gola Polo,2,51.66,2021-02-09
8,Sapato Social,4,68.68,2021-10-24
7,Camiseta Básica,16,86.71,2021-08-15
3,Sapato Social,10,31.86,2021-01-21
9,Sapato Social,14,91.18,2021-01-20
9,Camiseta Básica,13,76.9,2021-12-25
7,Calça Jeans,13,96.33,2021-07-29
2,Camiseta Básica,5,88.66,2021-07-15
9,Calça Jeans,6,91.25,2021-09-22
8,Camisa Manga Longa,19,44.07,2021-09-25
3,Camisa Gola Polo,12,58.81,2021-10-02
3,Camiseta Básica,15,25.65,2021-08-06
1,Camisa Gola Polo,3,64.07,2021-09-06
4,Camisa Gola Polo,14,78.79,2021-07-30
6,Camisa Gola Polo,20,61.72,2021-01-11
8,Sapato Social,4,60.65,2021-06-10
2,Calça Jeans,8,97.37,2021-09-03
1,Camisa Gola Polo,9,62.88,2021-11-07
3,Camisa Manga Longa,9,29.0,2021-05-21
8,Sapato Social,9,65.77,2021-11-05
7,Calça Jeans,17,49.65,2021-07-30
10,Sapato Social,2,17.21,2021-07-14
8,Camisa Gola Polo,9,78.33,2021-07-25
10,Camisa Gola Polo,12,94.99,2021-01-11
9,Sapato Social,13,94.48,2021-08-28
7,Calça Jeans,5,62.78,2021-12-29
9,Camisa Manga Longa,18,98.73,2021-04-20
8,Camisa Gola Polo,3,85.76,2021-11-07
3,Camisa Manga Longa,11,40.91,2021-05-05
4,Sapato Social,16,31.43,2021-04-21
9,Camiseta Básica,19,91.01,2021-04-21
4,Camiseta Básica,4,84.35,2021-08-25
2,Camisa Manga Longa,4,77.94,2021-02-03
8,Camisa Gola Polo,4,45.33,2021-05-14
1,Calça Jeans,9,76.61,2021-08-24
6,Sapato Social,16,25.95,2021-04-10
10,Calça Jeans,18,44.37,2021-02-09
7,Camisa Manga Longa,18,82.2,2021-11-07
10,Camiseta Básica,2,15.81,2021-05-06
4,Camiseta Básica,5,72.55,2021-01-31
1,Camiseta Básica,8,20.26,2021-06-20
2,Calça Jeans,2,23.73,2021-11-19
2,Sapato Social,1,64.37,2021-09-09
4,Camisa Gola Polo,5,24.87,2021-03-30
2,Camiseta Básica,12,50.4,2021-07-25
10,Camisa Manga Longa,14,29.27,2021-04-13
1,Camisa Gola Polo,13,14.22,2021-07-05
4,Camisa Gola Polo,12,44.19,2021-08-24
1,Camisa Manga Longa,2,49.56,2021-12-25
8,Calça Jeans,1,76.11,2021-03-10
8,Camisa Manga Longa,14,14.23,2021-04-07
3,Sapato Social,7,18.44,2021-04-02
4,Sapato Social,12,16.99,2021-09-19
10,Camisa Manga Longa,2,35.04,2021-07-12
8,Sapato Social,7,30.36,2021-02-27
4,Camisa Gola Polo,1,10.12,2021-12-01
2,Camiseta Básica,19,31.6,2021-06-03
8,Sapato Social,19,27.99,2021-11-25
10,Camisa Gola Polo,13,78.1,2021-05-13
7,Camisa Manga Longa,13,49.96,2021-06-16
9,Camiseta Básica,7,60.29,2021-05-27
5,Camisa Manga Longa,12,88.44,2021-05-30
5,Camisa Manga Longa,17,72.8,2021-05-03
7,Camiseta Básica,9,52.67,2021-01-13
4,Sapato Social,1,68.32,2021-03-09
10,Sapato Social,1,79.27,2021-05-27
7,Calça Jeans,15,29.25,2021-07-19
8,Camisa Gola Polo,20,58.84,2021-04-21
5,Camisa Gola Polo,2,50.42,2021-04-27
1,Camiseta Básica,11,11.95,2021-01-22
5,Camisa Manga Longa,19,64.15,2021-10-30
7,Calça Jeans,16,78.53,2021-04-30
1,Calça Jeans,3,79.52,2021-02-14
8,Calça Jeans,19,76.41,2021-10-11
5,Camiseta Básica,1,68.83,2021-01-05
4,Sapato Social,20,23.7,2021-05-09
10,Calça Jeans,8,48.36,2021-09-02
8,Sapato Social,12,66.19,2021-07-04
10,Camiseta Básica,13,15.8,2021-01-03
8,Camisa Manga Longa,10,23.31,2021-08-03
4,Calça Jeans,13,85.36,2021-08-18
10,Calça Jeans,9,93.65,2021-11-22
10,Camisa Gola Polo,12,66.28,2021-02-14
10,Camisa Gola Polo,19,28.82,2021-03-21
2,Camisa Gola Polo,9,10.91,2021-11-01
9,Camisa Gola Polo,18,15.44,2021-01-09
10,Sapato Social,4,82.62,2021-04-12
6,Sapato Social,10,62.64,2021-07-08
1,Camiseta Básica,18,14.86,2021-08-28
3,Camisa Gola Polo,17,69.63,2021-10-05
1,Sapato Social,3,69.99,2021-06-15
7,Camisa Manga Longa,17,81.36,2021-04-05
9,Sapato Social,20,89.88,2021-01-26
5,Camiseta Básica,20,19.4,2021-04-11
10,Camisa Gola Polo,11,67.79,2021-08-21
5,Camisa Manga Longa,8,90.75,2021-01-14
10,Camisa Gola Polo,14,49.14,2021-02-28
3,Calça Jeans,19,48.26,2021-07-18
9,Camiseta Básica,8,41.62,2021-03-30
1,Calça Jeans,1,34.26,2021-02-23
9,Camisa Gola Polo,8,64.64,2021-09-25
10,Camiseta Básica,7,99.99,2021-01-31
9,Camisa Manga Longa,17,77.69,2021-06-21
2,Camisa Gola Polo,9,15.04,2021-08-02
6,Sapato Social,6,26.8,2021-05-27
4,Calça Jeans,16,78.11,2021-01-19
1,Calça Jeans,18,68.65,2021-10-06
8,Camiseta Básica,8,93.32,2021-10-17
1,Camiseta Básica,16,15.87,2021-07-25
6,Calça Jeans,11,40.27,2021-11-12
6,Camisa Gola Polo,7,68.83,2021-07-03
4,Camisa Gola Polo,6,90.22,2021-05-25
9,Camisa Gola Polo,6,51.72,2021-01-06
3,Camisa Gola Polo,16,21.04,2021-11-12
7,Sapato Social,5,66.51,2021-08-29
8,Calça Jeans,3,52.31,2021-12-30
9,Calça Jeans,20,95.79,2021-06-04
1,Camiseta Básica,8,60.77,2021-11-06
5,Sapato Social,16,36.93,2021-06-15
3,Camisa Gola Polo,19,46.0,2021-09-21
1,Camisa Gola Polo,7,13.2,2021-08-15
5,Camiseta Básica,17,81.52,2021-12-03
1,Sapato Social,14,59.27,2021-05-07
3,Sapato Social,9,47.01,2021-02-22
9,Camisa Manga Longa,3,67.39,2021-08-30
10,Camiseta Básica,6,20.72,2021-04-30
7,Sapato Social,13,10.57,2021-02-14
6,Camisa Gola Polo,3,38.61,2021-04-01
6,Calça Jeans,16,23.44,2021-09-01
2,Camisa Manga Longa,4,81.67,2021-10-20
8,Camisa Manga Longa,5,17.91,2021-07-16
4,Camisa Manga Longa,2,87.63,2021-04-29
5,Camisa Gola Polo,20,33.27,2021-08-07
5,Camiseta Básica,6,80.88,2021-07-09
7,Camisa Gola Polo,17,24.45,2021-01-15
3,Calça Jeans,8,95.87,2021-10-03
10,Calça Jeans,3,17.67,2021-10-25
7,Camisa Gola Polo,19,10.68,2021-07-08
4,Camiseta Básica,6,45.55,2021-03-06
4,Sapato Social,15,89.69,2021-04-06
9,Sapato Social,7,46.19,2021-06-16
6,Calça Jeans,9,86.18,2021-12-02
10,Sapato Social,11,11.81,2021-12-25
9,Calça Jeans,16,47.19,2021-11-01
7,Calça Jeans,13,17.19,2021-04-12
6,Sapato Social,19,59.52,2021-08-12
4,Camisa Gola Polo,17,84.04,2021-10-24
5,Camiseta Básica,6,19.38,2021-07-02
5,Camisa Gola Polo,11,24.66,2021-08-27
6,Camiseta Básica,18,59.97,2021-10-30
6,Sapato Social,18,48.17,2021-04-11
4,Camisa Manga Longa,14,59.52,2021-09-15
10,Sapato Social,4,33.03,2021-12-19
10,Sapato Social,17,69.93,2021-05-08
8,Camisa Gola Polo,12,36.45,2021-03-05
8,Sapato Social,4,62.92,2021-02-27
2,Camiseta Básica,14,37.01,2021-04-05
5,Camisa Manga Longa,18,38.94,2021-06-02
2,Calça Jeans,20,46.99,2021-12-27
10,Camiseta Básica,17,10.54,2021-09-05
3,Camiseta Básica,9,66.14,2021-11-12
8,Camisa Gola Polo,11,23.84,2021-03-25
9,Calça Jeans,2,22.24,2021-01-22
2,Calça Jeans,5,34.03,2021-07-21
10,Sapato Social,1,18.3,2021-02-21
1,Sapato Social,15,72.6,2021-10-24
9,Camiseta Básica,17,12.99,2021-12-27
2,Camisa Manga Longa,4,90.41,2021-02-02
3,Sapato Social,19,38.27,2021-05-17
5,Sapato Social,5,19.56,2021-08-02
9,Sapato Social,9,32.82,2021-06-01
9,Camisa Manga Longa,7,69.62,2021-03-29
7,Camisa Manga Longa,9,22.62,2021-03-16
2,Camiseta Básica,12,23.93,2021-12-07
1,Camisa Manga Longa,2,63.12,2021-07-12
7,Calça Jeans,1,90.52,2021-12-15
5,Calça Jeans,3,14.39,2021-08-30
7,Calça Jeans,5,52.12,2021-07-06
6,Calça Jeans,14,86.93,2021-10-19
1,Camisa Gola Polo,16,35.56,2021-05-30
1,Camisa Manga Longa,20,81.36,2021-02-18
1,Camisa Manga Longa,5,42.36,2021-12-19
4,Calça Jeans,2,78.51,2021-01-20
6,Calça Jeans,20,51.91,2021-03-05
6,Camisa Manga Longa,7,74.73,2021-08-24
5,Camisa Gola Polo,12,63.03,2021-02-08
2,Calça Jeans,10,99.08,2021-04-29
6,Camisa Manga Longa,2,21.45,2021-01-05
7,Camisa Gola Polo,10,30.48,2021-08-03
5,Camisa Gola Polo,17,90.67,2021-06-20
9,Sapato Social,1,70.05,2021-05-22
5,Camisa Gola Polo,17,45.35,2021-04-28
5,Sapato Social,16,70.74,2021-10-10
10,Sapato Social,17,50.06,2021-03-30
1,Camiseta Básica,20,25.75,2021-08-24
10,Calça Jeans,10,72.46,2021-06-24
3,Calça Jeans,7,33.43,2021-07-24
9,Sapato Social,18,64.52,2021-10-15
3,Camisa Gola Polo,5,15.01,2021-08-05
4,Camisa Gola Polo,7,12.72,2021-09-27
5,Calça Jeans,4,20.45,2021-11-02
4,Camisa Manga Longa,12,89.16,2021-12-13
5,Sapato Social,15,63.17,2021-12-26
6,Camisa Manga Longa,19,28.23,2021-05-04
10,Camisa Gola Polo,8,32.83,2021-07-03
6,Sapato Social,10,40.35,2021-04-25
4,Calça Jeans,19,95.63,2021-06-30
7,Camisa Manga Longa,18,60.09,2021-11-09
5,Camisa Manga Longa,13,56.55,2021-02-03
5,Calça Jeans,18,22.23,2021-11-22
4,Calça Jeans,3,99.36,2021-06-15
7,Calça Jeans,5,50.02,2021-01-05
4,Calça Jeans,8,92.29,2021-05-21
5,Sapato Social,9,20.0,2021-08-30
4,Camisa Gola Polo,11,97.88,2021-12-26
1,Sapato Social,16,73.14,2021-01-11
6,Camiseta Básica,9,79.82,2021-04-08
2,Sapato Social,20,25.24,2021-10-23
5,Calça Jeans,2,73.62,2021-03-16
6,Camiseta Básica,18,13.07,2021-01-19
7,Calça Jeans,14,70.45,2021-03-24
3,Calça Jeans,19,73.41,2021-08-15
1,Camisa Manga Longa,20,23.0,2021-06-20
